City,Lat,Lng
Mason|OH|US,39.36,-84.3
Ashburn|VA|US,39.03,-77.47
Basel|@|CH,47.55,7.59
Ramat Gan|@|IL,32.07,34.83
Tuusula|@|FI,60.4,25.03
Dublin|PA|US,40.37,-75.21
York|PA|US,39.97,-76.73
Vaxjo|@|SE,56.88,14.81
Murrysville|PA|US,40.46,-79.66
Rogaland|@|NO,58.94,5.81
Huntington|IN|US,40.88,-85.5
Springfield|NJ|US,40.7,-74.33
Folsom|CA|US,38.68,-121.18
Fairborn|OH|US,39.81,-84.01
McFarland|CA|US,35.68,-119.23
Griesheim|@|DE,49.85,8.56
Muskego|WI|US,42.89,-88.13
Scottsdale|AZ|US,33.68,-111.86
Goleta|CA|US,34.44,-119.83
Tittmoning|@|DE,48.05,12.74
Morton Grove|IL|US,42.04,-87.78
Corning|NY|US,42.15,-77.06
Kfar Saba|@|IL,32.18,34.91
Foothill Ranch|CA|US,33.68,-117.66
Clearfield|UT|US,41.1,-112.02
Jeddah|@|SA,21.58,39.16
Edison|NJ|US,40.54,-74.39
Waterloo|IA|US,42.49,-92.34
Adairsville|GA|US,34.37,-84.93
Valhalla|NY|US,41.08,-73.78
"Waipu Township, Taichung County|@|TW",24.31,120.67
Tateyama|@|JP,34.93,139.72
Didcot|@|GB,51.61,-1.24
"Calgary, Alberta|@|CA",51.03,-114.05
Vittorio Veneto|@|IT,46.0,12.3
Paw Paw|WV|US,39.53,-78.46
Camp Hill|PA|US,40.24,-76.93
Ypsilanti|MI|US,42.24,-83.62
Lewis Center|OH|US,40.2,-83.01
Colleyville|TX|US,32.89,-97.16
Jianguomen|@|CN,39.9,116.41
Piscataway|NJ|US,40.55,-74.47
Berkeley Hgts|NJ|US,39.87,-74.13
Westfield|PA|US,41.92,-77.54
Southington|CT|US,41.6,-72.88
Reston|VA|US,38.96,-77.34
Toronto|@|CA,43.72,-79.42
Bretigny sur Orge|@|FR,48.6,2.3
Boalsburg|PA|US,40.78,-77.79
Dinwiddie|VA|US,37.08,-77.59
Wurzburg|@|DE,49.78,9.94
Zhejiang|@|CN,29.02,120.34
Shmurat Zichron|@|IL,31.92,34.79
Rensselaer|NY|US,42.64,-73.74
Tucson|AZ|US,32.16,-110.82
Middletown|MD|US,38.61,-76.98
Witten|@|DE,51.43,7.34
Venlo|@|NL,51.37,6.18
Carquefou|@|FR,47.3,-1.47
Duncan|OK|US,34.52,-97.98
Geldrop|@|NL,51.43,5.59
Baden|@|CH,47.46,8.31
Fukushima|@|JP,37.37,140.26
Dhahran|@|SA,26.3,50.12
Baar|@|CH,47.2,8.53
Peyton|CO|US,39.03,-104.48
Pleasanton|CA|US,37.66,-121.88
Yamoto|@|JP,38.39,141.24
Zwevegem|@|BE,50.78,3.38
Ballerup|@|DK,55.73,12.36
Kennett Square|PA|US,39.84,-75.71
Pennington|NJ|US,40.33,-74.79
St. Brieux|@|CA,52.64,-104.89
Bietigheim-Bissingen|@|DE,48.95,9.14
Carlisle|MA|US,42.53,-71.35
Garden Grove|CA|US,33.77,-117.95
Saitama|@|JP,36.02,139.28
Uiwang-si|@|KR,37.36,126.99
Ludington|MI|US,43.96,-86.45
Rancho Santa Fe|CA|US,33.02,-117.2
Helsinki|@|FI,60.12,25.0
Mansfield|MA|US,42.03,-71.22
Haifa|@|IL,32.8,35.01
Anan|@|JP,33.7,134.86
Pittsford|NY|US,43.09,-77.52
Holmdel|NJ|US,40.35,-74.18
Chaoyang District Beijing|@|CN,23.34,116.46
Riyadh|@|SA,24.63,46.72
Toms River|NJ|US,39.95,-74.2
Mazkeret Batya|@|IL,31.84,34.85
Edmonton|@|CA,53.53,-113.55
Minnetonka|MN|US,44.94,-93.46
Gumpoldskirchen|@|AT,48.04,16.28
Patparganj|@|IN,28.64,77.29
Wuhan|@|CN,30.67,114.37
Basse-Ham|@|FR,49.38,6.24
Vancouver|@|CA,49.26,-123.11
Niagara Falls|NY|US,43.1,-79.03
Ellicott City|MD|US,39.27,-76.8
Carmel|IN|US,39.96,-86.15
Xili Nanshan|@|CN,18.98,108.87
Ljungsbro|@|SE,58.51,15.5
Neenah|WI|US,44.16,-88.47
Media|PA|US,39.92,-75.39
Sainte-Anne-de-Bellevue|@|CA,45.42,-73.94
Georgetown|KY|US,38.23,-84.54
Mars|PA|US,40.7,-80.01
Tel Aviv|@|IL,32.09,34.78
Reichstett|@|FR,48.65,7.76
Metzervisse|@|FR,49.32,6.29
Westfield|NJ|US,40.66,-74.35
Dursley|@|GB,51.72,-2.36
Markham|@|CA,43.88,-79.28
Leamington Spa|@|GB,52.29,-1.53
Braunschweig|@|DE,52.25,10.54
Niederfischbach|@|DE,50.85,7.87
Sabattus|ME|US,44.12,-70.11
Oakland|NJ|US,41.03,-74.24
Shinagawa|@|JP,35.61,139.73
Le Versoud|@|FR,45.22,5.86
Stockton|CA|US,37.97,-121.31
Walpole|MA|US,42.14,-71.25
Woodplumpton|@|GB,53.82,-2.72
Batesville|IN|US,39.3,-85.21
St. Laurent|@|CA,48.12,-68.55
Miami|FL|US,25.77,-80.19
Dublin|@|IE,53.35,-6.26
Eden Prairie|MN|US,44.85,-93.46
Spokane|WA|US,47.67,-117.4
Boulder Creek|CA|US,37.13,-122.12
San Carlos|CA|US,37.5,-122.26
Kingsthorpe|@|GB,52.25,-0.9
Mortsel|@|BE,51.18,4.46
Norcross|GA|US,33.94,-84.21
Fernandina Beach|FL|US,30.65,-81.44
Mesa|AZ|US,33.42,-111.83
Athens|@|GR,37.98,23.73
Lynbrook|NY|US,40.65,-73.67
St. Paul|MN|US,44.94,-93.1
Vista|CA|US,33.2,-117.24
Duvall|WA|US,47.74,-121.97
Yardley|PA|US,40.24,-74.84
"Montréal, Québec|@|CA",46.8,-71.25
Earlysville|VA|US,38.16,-78.48
Owatonna|MN|US,44.1,-93.21
Omiya|@|JP,35.91,139.62
Isezaki|@|JP,35.44,139.64
Big Spring|TX|US,32.24,-101.48
Harrisonburg|VA|US,38.45,-78.87
Budapest|@|HU,47.48,19.15
Oak Park|CA|US,32.74,-117.07
Burlington|VT|US,44.49,-73.24
Kleinsendelbach|@|DE,49.6,11.17
Winterthur|@|CH,47.5,8.72
"Yokkaichi, Mie|@|JP",34.97,136.6
Walkerville|MI|US,43.74,-86.02
Bat Yam|@|IL,32.01,34.75
Corpus Christi|TX|US,27.78,-97.26
Collegeville|PA|US,40.19,-75.46
Auderghem|@|BE,50.82,4.43
Bethel Park|PA|US,40.32,-80.04
Clarendon Hills|IL|US,41.8,-87.96
Milpitas|CA|US,37.43,-121.91
Durham|NC|US,35.98,-78.91
Bristol|@|GB,51.47,-2.58
Port Coquitlam|@|CA,49.25,-122.76
Midland|MI|US,43.62,-84.23
Changsha County|@|CN,28.26,113.24
Kodaira|@|JP,35.73,139.48
Sugar Land|TX|US,29.59,-95.62
Oyonnax|@|FR,46.25,5.67
Lille|@|FR,50.63,3.06
Leonardo|NJ|US,40.42,-74.06
Saratoga|CA|US,37.27,-122.03
Overland Park|KS|US,38.97,-94.69
Oakland|CA|US,37.76,-122.17
Kirkland|WA|US,47.69,-122.19
Flower Mound|TX|US,33.04,-97.12
